,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
421,421,389,3826,0.9699628754640567,0.8034188034188035,0.8138528138528138,0.8086021505376344,1.0844213962554932,0.44231605529785156,0.9713128585892676,0.8686868686868687,0.7445887445887446,0.8018648018648019,9.037363052368164,0.4501039981842041,0.9676004049949376,0.7872340425531915,0.8008658008658008,0.7939914163090128,3.5392134189605713,0.03466153144836426,0.9659129260884239,0.7480916030534351,0.8484848484848485,0.795131845841785
422,422,390,3835,0.9705384354893328,0.8068669527896996,0.8173913043478261,0.8120950323974082,1.1130712032318115,0.44214439392089844,0.9715543515069421,0.8686868686868687,0.7478260869565218,0.8037383177570094,3.837074041366577,0.44884824752807617,0.966474771418896,0.7740585774058577,0.8043478260869565,0.7889125799573561,3.5057826042175293,0.03468036651611328,0.9617338300033864,0.7312252964426877,0.8043478260869565,0.7660455486542442
423,423,391,3844,0.9697587495752633,0.8070175438596491,0.8034934497816594,0.8052516411378556,1.1862671375274658,0.4393632411956787,0.9717974855589534,0.8686868686868687,0.7510917030567685,0.8056206088992974,5.585832118988037,0.4469015598297119,0.9687393815834183,0.8099547511312217,0.7816593886462883,0.7955555555555556,3.7277605533599854,0.03449511528015137,0.9612640163098879,0.7366255144032922,0.7816593886462883,0.7584745762711865
424,424,391,3854,0.9703375383566314,0.8008474576271186,0.8253275109170306,0.8129032258064517,1.2035408020019531,0.4385077953338623,0.9717013296965564,0.8686868686868687,0.7510917030567685,0.8056206088992974,4.466215372085571,0.4456217288970947,0.9703375383566314,0.8008474576271186,0.8253275109170306,0.8129032258064517,3.421647071838379,0.03444814682006836,0.9635185816570064,0.7346153846153847,0.834061135371179,0.7811860940695298
425,425,392,3863,0.969551830311324,0.8008658008658008,0.8114035087719298,0.8061002178649238,1.1912956237792969,0.4555840492248535,0.9716045159083134,0.868020304568528,0.75,0.8047058823529412,4.79785943031311,0.4470655918121338,0.9688676017789942,0.7842323651452282,0.8289473684210527,0.8059701492537313,5.372398376464844,0.03443503379821777,0.9609989736572015,0.728,0.7982456140350878,0.7615062761506276
426,426,393,3872,0.969790593889461,0.8034934497816594,0.8105726872246696,0.8070175438596491,1.3810243606567383,0.4538393020629883,0.9718503261242705,0.868020304568528,0.7533039647577092,0.8066037735849056,3.9762566089630127,0.46733784675598145,0.9691040164778579,0.8071748878923767,0.7929515418502202,0.7999999999999999,4.182694673538208,0.0345001220703125,0.9660144181256437,0.7519685039370079,0.8414096916299559,0.7941787941787941
427,427,393,3882,0.9696865311746469,0.8034934497816594,0.8105726872246696,0.8070175438596491,1.1247844696044922,0.451953649520874,0.9717533585945574,0.868020304568528,0.7533039647577092,0.8066037735849056,5.809324026107788,0.44528770446777344,0.9689975887013434,0.8127853881278538,0.7841409691629956,0.7982062780269058,2.71560001373291,0.03418087959289551,0.964174991388219,0.7411764705882353,0.8325991189427313,0.7842323651452282
428,428,394,3891,0.97061873487729,0.8105726872246696,0.8141592920353983,0.8123620309050773,1.0987637042999268,0.4512817859649658,0.9716557207051504,0.8673469387755102,0.7522123893805309,0.8056872037914692,3.815009832382202,0.4445803165435791,0.9685447632215693,0.7922077922077922,0.8097345132743363,0.8008752735229758,4.83013653755188,0.03419852256774902,0.9571379191151054,0.7007874015748031,0.7876106194690266,0.7416666666666667
429,429,396,3899,0.9691293791189733,0.8026905829596412,0.7991071428571429,0.8008948545861297,1.2012746334075928,0.44791197776794434,0.9715574054804024,0.865979381443299,0.75,0.8038277511961722,7.029303073883057,0.44238829612731934,0.9701699618453,0.822429906542056,0.7857142857142857,0.8036529680365296,3.2070672512054443,0.033843994140625,0.9653139091224419,0.746031746031746,0.8392857142857143,0.7899159663865546
430,430,401,3904,0.9700661329620606,0.7854077253218884,0.8356164383561644,0.8097345132743364,1.1372978687286377,0.4477841854095459,0.9731987469544031,0.8622448979591837,0.771689497716895,0.8144578313253013,6.526603698730469,0.44466137886047363,0.9679777236338323,0.7679324894514767,0.8310502283105022,0.7982456140350876,3.2120096683502197,0.03399395942687988,0.9627567003132614,0.7258064516129032,0.821917808219178,0.7708779443254818
