,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
211,211,541,1574,0.9843966028046612,0.0,0.0,0.0,3.4848592281341553,0.11141228675842285,0.9843966028046612,0.0,0.0,0.0
212,212,541,1584,0.9843657233326737,0.0,0.0,0.0,3.651104211807251,0.09912586212158203,0.9843657233326737,0.0,0.0,0.0
213,213,541,1594,0.9843347213959944,0.0,0.0,0.0,3.69921612739563,0.09304380416870117,0.9843347213959944,0.0,0.0,0.0
214,214,541,1604,0.9843035962646532,0.0,0.0,0.0,2.59251070022583,0.09577608108520508,0.9843035962646532,0.0,0.0,0.0
215,215,541,1614,0.9840732629902449,0.0,0.0,0.0,2.7939000129699707,0.10961246490478516,0.9840732629902449,0.0,0.0,0.0
216,216,541,1624,0.9842409734689807,0.0,0.0,0.0,2.9470958709716797,0.09479570388793945,0.9842409734689807,0.0,0.0,0.0
217,217,541,1634,0.9842094743154107,0.0,0.0,0.0,2.901167392730713,0.10884594917297363,0.9842094743154107,0.0,0.0,0.0
218,218,541,1644,0.9839775685960345,0.0,0.0,0.0,3.9441747665405273,0.0944967269897461,0.9839775685960345,0.0,0.0,0.0
219,219,541,1654,0.9841460967288782,0.0,0.0,0.0,3.3511455059051514,0.09399104118347168,0.9841460967288782,0.0,0.0,0.0
220,220,541,1664,0.984114216770561,0.0,0.0,0.0,4.016990661621094,0.09314179420471191,0.984114216770561,0.0,0.0,0.0
221,221,541,1674,0.9840822083417288,0.0,0.0,0.0,5.861037015914917,0.09311223030090332,0.9840822083417288,0.0,0.0,0.0
222,222,541,1684,0.9834443771451645,0.2,0.012658227848101266,0.023809523809523808,4.721224069595337,0.09400773048400879,0.9834443771451645,0.2,0.012658227848101266,0.023809523809523808
223,223,542,1693,0.9842201092453975,0.0,0.0,0.0,2.534985065460205,0.09584951400756836,0.9842201092453975,0.0,0.0,0.0
224,224,542,1703,0.9833772552199473,0.16666666666666666,0.01282051282051282,0.023809523809523808,5.96062159538269,0.10811948776245117,0.9833772552199473,0.16666666666666666,0.01282051282051282,0.023809523809523808
225,225,543,1712,0.9845622587852935,1.0,0.012987012987012988,0.025641025641025647,2.3716094493865967,0.10150551795959473,0.9845622587852935,1.0,0.012987012987012988,0.025641025641025647
226,226,544,1721,0.9837166700590271,0.0,0.0,0.0,3.5305604934692383,0.09273886680603027,0.9837166700590271,0.0,0.0,0.0
227,227,544,1731,0.9844992861513359,0.0,0.0,0.0,3.102882146835327,0.09062504768371582,0.9844992861513359,0.0,0.0,0.0
